授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
工業数学Ｃ,大﨑 純・小椋 大輔・大谷 真・西嶋 一欽,2回生以上,後期,水3,工学部専門科目,建築学科,,2024
工学倫理,市川 温・新津 葵一・関 修平・東口 顕士・伊勢田 哲治・清水 雄也・杉安 和憲・今堀 博・梅野 健・大﨑 純・高木 郁二・西脇 眞二・伊藤 禎彦・大和田 拓・須崎 純一・正直 花奈子・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2024
工学序論,"関 修平・鹿島 久嗣・神吉 紀世子・高橋 良和・木谷 哲夫・鈴木 基史・中村 祐司・石塚 師也・KOWHAKUL, Wasana",1回生以上,前期集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ１,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ２,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2024
地球工学総論,後藤 仁志・古川 愛子,4回生以上,前期,水4,工学部専門科目,建築学科,,2024
建築計画学Ｉ,三浦 研,2回生以上,後期,火2,工学部専門科目,建築学科,,2024
住居計画学,柳沢 究,2回生以上,後期,水2,工学部専門科目,建築学科,,2024
設計演習Ｉ,田路 貴浩・柳沢 究・西野 佐弥香・小見山 陽介・魚谷 繁礼・山田 紗子・畑 友洋・岩瀨 諒子・早川 小百合,2回生以上,前期,"月5,金4,5",工学部専門科目,建築学科,,2024
設計演習II,平田 晃久・神吉 紀世子・田路 貴浩・小林 広英・柳沢 究・岩瀨 諒子・杉中 瑞季・中山 英之・河井 敏明・高野 洋平,2回生以上,後期,"月4,5",工学部専門科目,建築学科,,2024
建築環境工学Ｉ,原田 和典・小椋 大輔,2回生以上,前期,水2,工学部専門科目,建築学科,,2024
建築環境工学II,石田 泰一郎・大谷 真,2回生以上,後期,金2,工学部専門科目,建築学科,,2024
建築構造力学Ｉ,大﨑 純・張 景耀,2回生以上,前期,金1,工学部専門科目,建築学科,,2024
建築構造力学II,荒木 慶一・藤田 皓平・林 和希,2回生以上,後期,金1,工学部専門科目,建築学科,,2024
建築材料,西山 峰広・聲高 裕治・杉野 未奈,2回生以上,後期,月2,工学部専門科目,建築学科,,2024
建築設計論,平田 晃久,2回生以上,前期,月2,工学部専門科目,建築学科,,2024
都市設計学,小林 広英・落合 知帆,3回生以上,前期,月3,工学部専門科目,建築学科,,2024
建築設備システム,小椋 大輔・石田 泰一郎・伊庭 千恵美,3回生以上,前期,木1,工学部専門科目,建築学科,,2024
鉄筋コンクリート構造Ｉ,西山 峰広・谷 昌典,3回生以上,前期,金2,工学部専門科目,建築学科,,2024
鉄骨構造Ｉ,池田 芳樹・聲高 裕治,3回生以上,前期,木2,工学部専門科目,建築学科,,2024
建築生産Ｉ,金多 隆・西野 佐弥香,2回生以上,前期,水1,工学部専門科目,建築学科,,2024
建築構造力学III,大﨑 純・荒木 慶一・張 景耀・藤田 皓平,3回生以上,前期,"火2,水2",工学部専門科目,建築学科,,2024
建築環境工学演習,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・西野 智研・仁井 大策・高取 伸光,4回生以上,前期,"水1,2",工学部専門科目,建築学科,,2024
建築計画学II,三浦 研,4回生以上,前期,水3,工学部専門科目,建築学科,,2024
建築生産II,金多 隆・西野 佐弥香・木内 利夫,3回生以上,後期,火1,工学部専門科目,建築学科,,2024
建築論,田路 貴浩・早川 小百合,3回生以上,前期,水3,工学部専門科目,建築学科,,2024
都市・地域論,神吉 紀世子,3回生以上,後期,木2,工学部専門科目,建築学科,,2024
建築光・音環境学,石田 泰一郎・大谷 真,3回生以上,前期,月1,工学部専門科目,建築学科,,2024
建築構造解析,池田 芳樹・荒木 慶一,3回生以上,後期,水2,工学部専門科目,建築学科,,2024
建築基礎構造,境 有紀・藤田 皓平・長嶋 史明,4回生以上,前期,月2,工学部専門科目,建築学科,,2024
耐震構造,杉野 未奈,3回生以上,後期,水3,工学部専門科目,建築学科,,2024
鉄筋コンクリート構造II,西山 峰広・谷 昌典,3回生以上,後期,月3,工学部専門科目,建築学科,,2024
鉄骨構造II,聲高 裕治・倉田 真宏・稲益 博行,3回生以上,後期,月2,工学部専門科目,建築学科,,2024
設計演習III,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・岩本 馨・清山 陽平・大西 麻貴,3回生以上,前期,"月4,5,金4,5",工学部専門科目,建築学科,,2024
設計演習IV,平田 晃久・三浦 研・山本 麻子・藤本 壮介・清山 陽平・早川 小百合,3回生以上,後期,"月5,火3,4,5,水5",工学部専門科目,建築学科,,2024
景観デザイン論,田路 貴浩・小見山 陽介,2回生以上,前期,水5,工学部専門科目,建築学科,,2024
耐風構造,西嶋 一欽,4回生以上,前期,火2,工学部専門科目,建築学科,,2024
建築・都市行政,山本 一博・髙木 勝英・文山 達昭,2回生以上,前期,水4,工学部専門科目,建築学科,,2024
設計演習Ｖ,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・三浦 研・DANIELL，Thomas Charles・田路 貴浩・小林 広英・牧 紀男・柳沢 究・吉田 哲・西野 佐弥香・小見山 陽介・岩瀨 諒子・安田 渓,4回生以上,前期,"火3,4,5,水5",工学部専門科目,建築学科,,2024
構造設計演習,西山 峰広・聲高 裕治・谷 昌典・佐藤 裕一,4回生以上,前期,"金4,5",工学部専門科目,建築学科,,2024
構造・材料実験,聲高 裕治・谷 昌典・杉野 未奈・稲益 博行・佐藤 裕一・高塚 康平,4回生以上,前期,"月3,4",工学部専門科目,建築学科,,2024
建築安全設計,原田 和典・西野 智研・仁井 大策,4回生以上,前期,金2,工学部専門科目,建築学科,,2024
建築工学概論<建築>,荒木 慶一・西山 峰広・聲高 裕治・松島 信一,1回生以上,後期,月1,工学部専門科目,建築学科,,2024
都市環境工学,原田 和典・石田 泰一郎・西野 智研,3回生以上,後期,木1,工学部専門科目,建築学科,,2024
行動・建築デザイン論,牧 紀男,3回生以上,前期,火4,工学部専門科目,建築学科,,2024
建築応用数学,大﨑 純・小椋 大輔・大谷 真・西嶋 一欽,3回生以上,前期,金3,工学部専門科目,建築学科,,2024
建築情報システム学,金多 隆・西野 佐弥香,3回生以上,前期,火3,工学部専門科目,建築学科,,2024
日本都市史,岩本 馨,1回生以上,前期,火3,工学部専門科目,建築学科,,2024
日本建築史,冨島 義幸,3回生以上,後期,水1,工学部専門科目,建築学科,,2024
建築情報処理演習,柳沢 究・伊庭 千恵美・倉田 真宏・仁井 大策・稲益 博行・安田 渓,2回生以上,後期,"金4,5",工学部専門科目,建築学科,,2024
建築温熱環境設計,小椋 大輔・伊庭 千恵美,3回生以上,後期,火2,工学部専門科目,建築学科,,2024
設計演習基礎,平田 晃久・安田 渓・岩瀨 諒子・早川 小百合・清山 陽平,1回生以上,後期,"月4,5",工学部専門科目,建築学科,,2024
世界建築史,冨島 義幸・岩本 馨,1回生以上,後期,月3,工学部専門科目,建築学科,,2024
専門英語,"TSOI, Esther",4回生以上,前期,木4,工学部専門科目,建築学科,,2024
建築造形実習,小見山 陽介・平野 利樹・安田 渓・清山 陽平,1回生以上,前期,"月3,4",工学部専門科目,建築学科,,2024
建築設備計画法,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・西野 智研・小林 陽一・仁井 大策,4回生以上,前期,水4,工学部専門科目,建築学科,,2024
特別研究,三浦 研,4回生以上,通年集中,集中講義,工学部専門科目,建築学科,,2024
工学倫理,市川 温・新津 葵一・関 修平・東口 顕士・伊勢田 哲治・清水 雄也・杉安 和憲・今堀 博・梅野 健・大﨑 純・高木 郁二・西脇 眞二・伊藤 禎彦・大和田 拓・須崎 純一・正直 花奈子・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2024
工学序論,"関 修平・鹿島 久嗣・神吉 紀世子・高橋 良和・木谷 哲夫・鈴木 基史・中村 祐司・石塚 師也・KOWHAKUL, Wasana",1回生以上,前期集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ１,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ２,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2024
電気電子回路,久門 尚史,1回生以上,後期,月5,工学部専門科目,電気電子工学科,,2024
電磁気学１,松尾 哲司,2回生以上,後期,金2,工学部専門科目,電気電子工学科,,2024
電磁気学２,松尾 哲司・雨宮 尚之,3回生以上,前期,月2,工学部専門科目,電気電子工学科,,2024
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,電気電子工学科,,2024
論理回路,橋本 昌宜,2回生以上,前期,金1,工学部専門科目,電気電子工学科,,2024
情報理論,佐藤 丈博,2回生以上,後期,火1,工学部専門科目,電気電子工学科,,2024
物性・デバイス基礎論,木本 恒暢・衛藤 雄二郎,2回生以上,前期,火1,工学部専門科目,電気電子工学科,,2024
計算機工学,佐藤 高史,2回生以上,後期,月4,工学部専門科目,電気電子工学科,,2024
電気回路,久門 尚史,3回生以上,前期,火3,工学部専門科目,電気電子工学科,,2024
自動制御工学,萩原 朋道・細江 陽平,3回生以上,前期,火1,工学部専門科目,電気電子工学科,,2024
ディジタル制御,萩原 朋道・細江 陽平,3回生以上,後期,火4,工学部専門科目,電気電子工学科,,2024
放電工学,伊藤 陽介・弘津 研一,4回生以上,前期,火4,工学部専門科目,電気電子工学科,,2024
通信基礎論,原田 博司・水谷 圭一,3回生以上,前期,水1,工学部専門科目,電気電子工学科,,2024
情報伝送工学,水谷 圭一,3回生以上,後期,水2,工学部専門科目,電気電子工学科,,2024
通信ネットワーク,大木 英司・佐藤 丈博・小林 丈朗・庄林 宏和・名渕 鉄也,3回生以上,後期,月2,工学部専門科目,電気電子工学科,,2024
マイクロ波工学,篠原 真毅・三谷 友彦,4回生以上,前期,火2,工学部専門科目,電気電子工学科,,2024
固体電子工学,野田 進・浅野 卓,3回生以上,前期,水2,工学部専門科目,電気電子工学科,,2024
半導体工学,木本 恒暢,2回生以上,後期,火2,工学部専門科目,電気電子工学科,,2024
プラズマ工学,海老原 祐輔・伊藤 陽介,3回生以上,後期,木5,工学部専門科目,電気電子工学科,,2024
電気電子材料学,小林 圭,3回生以上,後期,水3,工学部専門科目,電気電子工学科,,2024
光工学１,川上 養一・船戸 充,3回生以上,後期,火2,工学部専門科目,電気電子工学科,,2024
光通信工学,大木 英司,4回生以上,前期,木1,工学部専門科目,電気電子工学科,,2024
光電子デバイス工学,野田 進・浅野 卓,4回生以上,前期,月4,工学部専門科目,電気電子工学科,,2024
光工学２,船戸 充・川上 養一,4回生以上,前期,月2,工学部専門科目,電気電子工学科,,2024
電気法規,下田 一彦・松尾 哲司・初崎 昭典,3回生以上,前期集中,集中講義,工学部専門科目,電気電子工学科,,2024
電波法規,篠原 真毅・浅居 正充,4回生以上,後期集中,集中講義,工学部専門科目,電気電子工学科,,2024
ディジタル回路,橋本 昌宜・新津 葵一,3回生以上,前期,木2,工学部専門科目,電気電子工学科,,2024
ディジタル信号処理,横山 竜宏,3回生以上,後期,月4,工学部専門科目,電気電子工学科,,2024
電気電子プログラミング及演習,村脇 有吾・櫻田 健,2回生以上,前期,"水4,5",工学部専門科目,電気電子工学科,,2024
電気回路基礎論,久門 尚史,1回生以上,前期,火5,工学部専門科目,電気電子工学科,,2024
システム最適化,阪本 卓也,3回生以上,後期,火3,工学部専門科目,電気電子工学科,,2024
パワーエレクトロニクス,薄 良彦・持山 志宇・CASTELLAZZI，Alberto,3回生以上,前期,月1,工学部専門科目,電気電子工学科,,2024
電気電子工学概論,川山 巌・小林 進二・衛藤 雄二郎・細江 陽平,1回生以上,後期,"水4,5",工学部専門科目,電気電子工学科,,2024
電気電子計算工学及演習,雨宮 尚之・横山 竜宏・村脇 有吾・謝 怡凱,3回生以上,後期,"木1,2",工学部専門科目,電気電子工学科,,2024
電気電子工学のための量子論,竹内 繁樹,3回生以上,前期,水4,工学部専門科目,電気電子工学科,,2024
電気電子計測,岡本 亮,2回生以上,後期,金3,工学部専門科目,電気電子工学科,,2024
電気電子数学1,海老原 祐輔・吉井 和佳,2回生以上,後期,金1,工学部専門科目,電気電子工学科,,2024
電気電子数学２,土居 伸二・吉井 和佳,3回生以上,前期,水3,工学部専門科目,電気電子工学科,,2024
電気伝導,米澤 進吾・土井 俊哉,4回生以上,前期,水2,工学部専門科目,電気電子工学科,,2024
電気機器基礎論,進藤 裕司,3回生以上,前期,月4,工学部専門科目,電気電子工学科,,2024
応用電気機器,中村 武恒,3回生以上,後期,月5,工学部専門科目,電気電子工学科,,2024
電波工学,篠原 真毅・橋口 浩之,3回生以上,後期,月3,工学部専門科目,電気電子工学科,,2024
アンテナ・伝搬工学,山本 衛・橋口 浩之,4回生以上,前期,木2,工学部専門科目,電気電子工学科,,2024
組み込み計算機システム,佐藤 高史・粟野 皓光,3回生以上,後期,水1,工学部専門科目,電気電子工学科,,2024
集積回路工学,佐藤 高史・橋本 昌宜・粟野 皓光,4回生以上,前期,木4,工学部専門科目,電気電子工学科,,2024
メカトロニクス入門,細田 耕・川節 拓実,3回生以上,後期,水4,工学部専門科目,電気電子工学科,,2024
情報通信工学,原田 博司・大木 英司・佐藤 丈博・水谷 圭一,4回生以上,前期,火3,工学部専門科目,電気電子工学科,,2024
電子物性工学,白石 誠司,3回生以上,後期,火5,工学部専門科目,電気電子工学科,,2024
真空電子工学,後藤 康仁,3回生以上,前期,木1,工学部専門科目,電気電子工学科,,2024
電気電子回路演習,小嶋 浩嗣・下田 宏・稲垣 滋・上田 樹美・白木 隆太・三谷 友彦,2回生以上,前期,"木3,4",工学部専門科目,電気電子工学科,,2024
電気電子工学基礎実験,浅野 卓・吉田 昌宏・新津 葵一・篠北 啓介・杉山 和彦・井上 卓也・大島 諒・曽我部 友輔・石井 裕剛・西村 耕司・白井 僚・金 史良・栗田 怜・向井 佑・川山 巌,2回生以上,後期,"木1,2,3,4",工学部専門科目,電気電子工学科,,2024
生体医療工学,石井 信・土居 伸二・下田 宏・伊藤 陽介・阪本 卓也・島﨑 秀昭,4回生以上,前期,火1,工学部専門科目,電気電子工学科,,2024
電気電子工学実験,船戸 充・中村 武恒・上田 義勝・岡本 亮・小林 圭・細江 陽平・衛藤 雄二郎・佐藤 丈博・謝 怡凱・劉 昆洋・池田 敦俊・上野 嶺,3回生以上,前期,"金1,2,3,4",工学部専門科目,電気電子工学科,,2024
電気電子工学実習,水谷 圭一・比留間 真悟・伊藤 陽介・掛谷 一弘・金子 光顕・後藤 康仁・持山 志宇・石井 良太・香田 優介・島﨑 秀昭・松山 顕之,3回生以上,後期,"金1,2,3,4",工学部専門科目,電気電子工学科,,2024
電力システム工学,薄 良彦,3回生以上,後期,月1,工学部専門科目,電気電子工学科,,2024
応用電力工学,松尾 哲司・高井 茂臣・五味 俊一・金子 雅彦・齊藤 康光,4回生以上,前期,月3,工学部専門科目,電気電子工学科,,2024
機械学習,石井 信・西野 恒,3回生以上,後期,木3,工学部専門科目,電気電子工学科,,2024
アルゴリズムとデータ構造,西野 恒・櫻田 健,3回生以上,前期,火2,工学部専門科目,電気電子工学科,,2024
特別研究,全員,4回生以上,通年集中,集中講義,工学部専門科目,電気電子工学科,,2024
グラフ理論（電気電子）,川原 純,3回生以上,後期,木4,工学部専門科目,電気電子工学科,,2024
工学倫理,市川 温・新津 葵一・関 修平・東口 顕士・伊勢田 哲治・清水 雄也・杉安 和憲・今堀 博・梅野 健・大﨑 純・高木 郁二・西脇 眞二・伊藤 禎彦・大和田 拓・須崎 純一・正直 花奈子・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2024
工学序論,"関 修平・鹿島 久嗣・神吉 紀世子・高橋 良和・木谷 哲夫・鈴木 基史・中村 祐司・石塚 師也・KOWHAKUL, Wasana",1回生以上,前期集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ１,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ２,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2024
有機工業化学,大江 浩一・跡見 晴幸・河瀬 元明・近藤 輝幸・蘆田 隆一・寺村 謙太郎・藤原 哲晶,3回生以上,後期,水1,工学部専門科目,理工化学科,,2024
生物化学工学,跡見 晴幸・浜地 格・三木 裕明・高橋 重成・佐藤 喬章・船戸 洋佑・田村 朋則,3回生以上,後期,金2,工学部専門科目,理工化学科,,2024
環境保全概論,平井 康宏・中川 浩行・矢野 順也,3回生以上,前期,月1,工学部専門科目,理工化学科,,2024
環境安全化学,阿部 竜・中川 浩行・山本 浩平,3回生以上,後期,木1,工学部専門科目,理工化学科,,2024
移動現象,山本 量一,3回生以上,前期,火2,工学部専門科目,理工化学科,,2024
プロセス制御工学,外輪 健一郎・殿村 修・Oh Tae Hoon,3回生以上,前期,水2,工学部専門科目,理工化学科,,2024
量子化学概論,佐藤 啓文,3回生以上,後期,月2,工学部専門科目,理工化学科,,2024
電気化学,安部 武志・宮崎 晃平・宮原 雄人,4回生以上,前期,木2,工学部専門科目,理工化学科,,2024
有機分光学,田中 一生・廣瀬 崇至・山本 武司・大前 仁,4回生以上,前期,火2,工学部専門科目,理工化学科,,2024
触媒化学,阿部 竜・藤原 哲晶・跡見 晴幸・松井 敏明・中田 明伸,4回生以上,前期,水1,工学部専門科目,理工化学科,,2024
生化学II,森 泰生・跡見 晴幸・浜地 格・三木 裕明・佐藤 喬章・船戸 洋佑・窪田 亮,3回生以上,後期,月1,工学部専門科目,理工化学科,,2024
微粒子工学,渡邉 哲・中川 究也・長嶺 信輔,3回生以上,後期,火1,工学部専門科目,理工化学科,,2024
プロセスシステム工学,外輪 健一郎・殿村 修,3回生以上,後期,木2,工学部専門科目,理工化学科,,2024
プロセス設計,外輪 健一郎・玉川 淳・殿村 修・化学プロセス工学コース関連教員,4回生以上,前期,金3,工学部専門科目,理工化学科,,2024
計算化学工学,前多 裕介・長嶺 信輔,3回生以上,前期,火3,工学部専門科目,理工化学科,,2024
化学実験の安全指針,中川 浩行・大前 仁・阿部 竜・登阪 雅聡・東口 顕士・田中 隆行,4回生以上,前期集中,集中講義,工学部専門科目,理工化学科,,2024
化学工学シミュレーション,山本 量一・渡邉 哲,3回生以上,後期,火2,工学部専門科目,理工化学科,,2024
物理化学基礎及び演習［工化1],古賀 毅・小島 広之,2回生以上,前期,火2,工学部専門科目,理工化学科,,2024
物理化学基礎及び演習［工化2］,寺村 謙太郎・廣瀬 崇至,2回生以上,前期,火2,工学部専門科目,理工化学科,,2024
物理化学基礎及び演習［工化3］,田辺 克明,2回生以上,前期,火2,工学部専門科目,理工化学科,,2024
物理化学基礎及び演習［工化4］,東野 智洋・田中 庸裕,2回生以上,前期,火2,工学部専門科目,理工化学科,,2024
有機化学基礎及び演習［工化1］,藤原 哲晶,2回生以上,前期,月1,工学部専門科目,理工化学科,,2024
有機化学基礎及び演習［工化2］,中尾 佳亮,2回生以上,前期,月1,工学部専門科目,理工化学科,,2024
有機化学基礎及び演習［工化3］,浜地 格・窪田 亮,2回生以上,前期,月1,工学部専門科目,理工化学科,,2024
有機化学基礎及び演習［工化4］,山子 茂・茅原 栄一,2回生以上,前期,月1,工学部専門科目,理工化学科,,2024
基礎無機化学［T17，T18］,阿部 竜・高井 茂臣・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2024
基礎無機化学［T19，T20］,三浦 清貴・松井 敏明・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2024
基礎無機化学［T21，T22］,藤田 晃司・田中 勝久,2回生以上,前期,金2,工学部専門科目,理工化学科,,2024
化学プロセス工学基礎［T17，T18］,山本 量一・牧 泰輔・河瀬 元明,2回生以上,前期,木2,工学部専門科目,理工化学科,,2024
化学プロセス工学基礎［T19，T20］,河瀬 元明・蘆田 隆一・山本 量一,2回生以上,前期,木2,工学部専門科目,理工化学科,,2024
化学プロセス工学基礎［T21，T22］,中川 浩行・山本 量一・河瀬 元明,2回生以上,前期,木1,工学部専門科目,理工化学科,,2024
生命化学基礎,跡見 晴幸・森 泰生・浜地 格・近藤 輝幸・沼田 圭司・今堀 博・永楽 元次,2回生以上,前期,火4,工学部専門科目,理工化学科,,2024
有機化学Ｉ（創成化学）,中尾 佳亮,2回生以上,後期,月1,工学部専門科目,理工化学科,,2024
物理化学Ｉ（創成化学）,古賀 毅・西田 幸次・小島 広之,2回生以上,後期,水2,工学部専門科目,理工化学科,,2024
